sales_fact_id,sales_fact_key,period,gross_sales,units
1880287,PBS Benefits and ServicesCOSENTYX PSA#S#SAS#SA-10898N10898N#20181201,2018-12-01,10866.0,14.0
1127492,PBS Benefits and ServicesCOSENTYX PSA#S#VICS#VIC-10898N10898N#20180901,2018-09-01,14744.0,17.0
4635151,PBS Benefits and ServicesCOSENTYX PSO#S#ACTS#ACT-10425Q10425Q#20180801,2018-08-01,71198.0,41.0
3554353,PBS Benefits and ServicesCOSENTYX PSO#S#NSWS#NSW-10494H10494H#20180701,2018-07-01,53022.0,34.0
1119528,PBS Benefits and ServicesCOSENTYX PSO#S#SAS#SA-10425Q10425Q#20170801,2017-08-01,120076.0,74.0
3040222,PBS Benefits and ServicesDESFERRIOXAMINE IRON CHELATION#S#VICS#VIC-5661Y5661Y#20170501,2017-05-01,5034.0,13.0
5332290,PBS Benefits and ServicesDESFERRIOXAMINE IRON CHELATION#S#VICS#VIC-5661Y5661Y#20180501,2018-05-01,26833.0,34.0
6693611,PBS Benefits and ServicesENBREL AS#S#ACTS#ACT-11201M11201M#20181001,2018-10-01,4080.0,4.0
3196172,PBS Benefits and ServicesENBREL AS#S#NTS#NT-9456Q9456Q#20170301,2017-03-01,9843.0,6.0
576495,PBS Benefits and ServicesENBREL AS#S#NTS#NT-9456Q9456Q#20180801,2018-08-01,1010.0,1.0
4235522,PBS Benefits and ServicesENBREL AS#S#SAS#SA-8779C8779C#20170901,2017-09-01,1049.0,1.0
5200459,PBS Benefits and ServicesENBREL AS#S#SAS#SA-9085E9085E#20180701,2018-07-01,4073.0,4.0
3708854,PBS Benefits and ServicesENBREL AS#S#SAS#SA-9085E9085E#20181101,2018-11-01,4106.0,4.0
4852004,PBS Benefits and ServicesENBREL AS#S#TASS#TAS-9455P9455P#20180901,2018-09-01,3063.0,3.0
2019410,PBS Benefits and ServicesENBREL AS#S#VICS#VIC-9455P9455P#20181001,2018-10-01,20545.0,20.0
4348416,PBS Benefits and ServicesENBREL AS#S#WAS#WA-9085E9085E#20170901,2017-09-01,2021.0,2.0
336872,PBS Benefits and ServicesENBREL JUVENILE IDIOPATHIC ARTHRITIS#S#NSWS#NSW-3448L3448L#20180301,2018-03-01,1010.0,1.0
5554357,PBS Benefits and ServicesENBREL JUVENILE IDIOPATHIC ARTHRITIS#S#NSWS#NSW-5733R5733R#20170301,2017-03-01,6227.0,4.0
2145235,PBS Benefits and ServicesENBREL JUVENILE IDIOPATHIC ARTHRITIS#S#NSWS#NSW-9615C9615C#20190101,2019-01-01,978.0,1.0
2011647,PBS Benefits and ServicesENBREL JUVENILE IDIOPATHIC ARTHRITIS#S#NSWS#NSW-9641K9641K#20180101,2018-01-01,1968.0,2.0
1875620,PBS Benefits and ServicesENBREL JUVENILE IDIOPATHIC ARTHRITIS#S#QLDS#QLD-3450N3450N#20181201,2018-12-01,7176.0,7.0
3275539,PBS Benefits and ServicesENBREL PSA#S#NSWS#NSW-9036N9036N#20170701,2017-07-01,8212.0,8.0
16616328,PBS Benefits and ServicesENBREL PSA#S#NTS#NT-9458T9458T#20190401,2019-04-01,0.0,0.0
3044645,PBS Benefits and ServicesENBREL PSA#S#QLDS#QLD-9087G9087G#20180801,2018-08-01,4040.0,4.0
6673140,PBS Benefits and ServicesENBREL PSA#S#QLDS#QLD-9457R9457R#20170401,2017-04-01,27589.0,22.0
6854445,PBS Benefits and ServicesENBREL PSA#S#TASS#TAS-9088H9088H#20171001,2017-10-01,8292.0,8.0
6440682,PBS Benefits and ServicesENBREL PSA#S#TASS#TAS-9088H9088H#20181101,2018-11-01,1043.0,1.0
3910897,PBS Benefits and ServicesENBREL PSA#S#VICS#VIC-9036N9036N#20181101,2018-11-01,2060.0,2.0
16957017,PBS Benefits and ServicesENBREL PSO#S#TASS#TAS-9431J9431J#20181201,2018-12-01,0.0,0.0
5644360,PBS Benefits and ServicesENBREL PSO#S#VICS#VIC-9091L9091L#20181001,2018-10-01,2020.0,2.0
5406399,PBS Benefits and ServicesENBREL PSO#S#WAS#WA-9462B9462B#20180301,2018-03-01,4072.0,4.0
16679277,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#ACTS#ACT-9089J9089J#20180601,2018-06-01,0.0,0.0
2843538,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#ACTS#ACT-9090K9090K#20190101,2019-01-01,1050.0,1.0
3887182,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#NTS#NT-9460X9460X#20170601,2017-06-01,20362.0,20.0
233383,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#QLDS#QLD-9089J9089J#20181101,2018-11-01,22769.0,22.0
366370,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#QLDS#QLD-9460X9460X#20190401,2019-04-01,80224.0,73.0
5851168,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#SAS#SA-9090K9090K#20180901,2018-09-01,15455.0,15.0
3686461,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#TASS#TAS-9460X9460X#20170801,2017-08-01,67108.0,65.0
16959770,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#VICS#VIC-8637N8637N#20180701,2018-07-01,0.0,0.0
1194157,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#VICS#VIC-9089J9089J#20170501,2017-05-01,35021.0,34.0
1904731,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#WAS#WA-11197H11197H#20180701,2018-07-01,4112.0,4.0
4740188,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#WAS#WA-9459W9459W#20170901,2017-09-01,31734.0,31.0
425965,PBS Benefits and ServicesENBREL RHEUMATOID ARTHRITIS#S#WAS#WA-9460X9460X#20180701,2018-07-01,129710.0,126.0
3848736,PBS Benefits and ServicesEYLEA DME#S#NSWS#NSW-10505X10505X#20180701,2018-07-01,2126200.0,1551.0
4026639,PBS Benefits and ServicesEYLEA DME#S#NSWS#NSW-10505X10505X#20181201,2018-12-01,3083609.0,2314.0
6322058,PBS Benefits and ServicesEYLEA DME#S#SAS#SA-10505X10505X#20171101,2017-11-01,392025.0,274.0
4652840,PBS Benefits and ServicesEYLEA WAMD#S#NSWS#NSW-2168D2168D#20170301,2017-03-01,7152671.0,5839.0
6672924,PBS Benefits and ServicesFASENRA SAA#S#SAS#SA-11523L11523L#20190401,2019-04-01,6704.0,2.0
5379156,PBS Benefits and ServicesFERRIPROX IRON OVERLOAD#S#NSWS#NSW-5657R5657R#20190401,2019-04-01,51440.0,26.0
1156115,PBS Benefits and ServicesGLIVEC GIST#S#NSWS#NSW-5443L5443L#20180501,2018-05-01,2560.0,1.0
4995901,PBS Benefits and ServicesGLIVEC GIST#S#QLDS#QLD-9111M9111M#20180901,2018-09-01,31530.0,19.0
916632,PBS Benefits and ServicesGLIVEC GIST#S#SAS#SA-5443L5443L#20190101,2019-01-01,3770.0,3.0
719232,PBS Benefits and ServicesGLIVEC GIST#S#SAS#SA-9112N9112N#20180701,2018-07-01,64483.0,26.0
2510694,PBS Benefits and ServicesGLIVEC GIST#S#TASS#TAS-5444M5444M#20171101,2017-11-01,7408.0,3.0
6002957,PBS Benefits and ServicesHUMIRA AS#S#ACTS#ACT-9077R9077R#20180801,2018-08-01,1230.0,1.0
6265093,PBS Benefits and ServicesHUMIRA AS#S#ACTS#ACT-9104E9104E#20181001,2018-10-01,49646.0,39.0
460212,PBS Benefits and ServicesHUMIRA AS#S#WAS#WA-9077R9077R#20171101,2017-11-01,5452.0,4.0
3436775,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#ACTS#ACT-9190Q9190Q#20190401,2019-04-01,2459.0,2.0
348851,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#ACTS#ACT-9191R9191R#20170301,2017-03-01,49548.0,34.0
4778957,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#NSWS#NSW-10412B10412B#20190201,2019-02-01,52612.0,38.0
5732965,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#NSWS#NSW-10419J10419J#20181201,2018-12-01,3790.0,3.0
1216598,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#NSWS#NSW-9191R9191R#20180301,2018-03-01,1004490.0,732.0
2780906,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#NSWS#NSW-9191R9191R#20190301,2019-03-01,1051184.0,847.0
4488427,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#NTS#NT-9189P9189P#20181201,2018-12-01,3690.0,3.0
4548238,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#QLDS#QLD-10413C10413C#20190201,2019-02-01,4984.0,3.0
6186466,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#TASS#TAS-10412B10412B#20190301,2019-03-01,2526.0,2.0
3839878,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#TASS#TAS-10420K10420K#20190201,2019-02-01,2492.0,2.0
3882648,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#VICS#VIC-10419J10419J#20170401,2017-04-01,2725.0,2.0
5554587,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#VICS#VIC-10420K10420K#20190201,2019-02-01,42211.0,33.0
456063,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#VICS#VIC-10420K10420K#20190401,2019-04-01,50909.0,41.0
1565888,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#VICS#VIC-8962Q8962Q#20170401,2017-04-01,16795.0,4.0
5999299,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#VICS#VIC-8964T8964T#20180301,2018-03-01,53395.0,39.0
2587678,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#VICS#VIC-8965W8965W#20180401,2018-04-01,10998.0,8.0
4216423,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#VICS#VIC-8965W8965W#20180901,2018-09-01,20025.0,16.0
2334398,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#VICS#VIC-9188N9188N#20170401,2017-04-01,9710.0,7.0
5148720,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#VICS#VIC-9188N9188N#20190401,2019-04-01,13725.0,11.0
116342,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#WAS#WA-10396E10396E#20170801,2017-08-01,4193.0,3.0
4938477,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#WAS#WA-10399H10399H#20190201,2019-02-01,1229.0,1.0
1249882,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#WAS#WA-9188N9188N#20180401,2018-04-01,5503.0,4.0
1755167,PBS Benefits and ServicesHUMIRA CROHN DISEASE#S#WAS#WA-9190Q9190Q#20190301,2019-03-01,58088.0,46.0
1191978,PBS Benefits and ServicesHUMIRA HIDRADENITIS SUPPURATIVA#S#ACTS#ACT-11133Y11133Y#20170901,2017-09-01,13352.0,5.0
38153,PBS Benefits and ServicesHUMIRA HIDRADENITIS SUPPURATIVA#S#ACTS#ACT-11133Y11133Y#20180501,2018-05-01,5406.0,2.0
6080188,PBS Benefits and ServicesHUMIRA JUVENILE IDIOPATHIC ARTHRITIS#S#ACTS#ACT-9661L9661L#20180901,2018-09-01,1160.0,1.0
2338633,PBS Benefits and ServicesHUMIRA JUVENILE IDIOPATHIC ARTHRITIS#S#NSWS#NSW-9679K9679K#20170401,2017-04-01,14980.0,11.0
4302896,PBS Benefits and ServicesHUMIRA JUVENILE IDIOPATHIC ARTHRITIS#S#QLDS#QLD-9680L9680L#20171201,2017-12-01,9134.0,7.0
17002986,PBS Benefits and ServicesHUMIRA JUVENILE IDIOPATHIC ARTHRITIS#S#VICS#VIC-9678J9678J#20190301,2019-03-01,0.0,0.0
1577548,PBS Benefits and ServicesHUMIRA JUVENILE IDIOPATHIC ARTHRITIS#S#VICS#VIC-9680L9680L#20180901,2018-09-01,10602.0,9.0
4181680,PBS Benefits and ServicesHUMIRA PSA#S#ACTS#ACT-9033K9033K#20170701,2017-07-01,1402.0,1.0
2857836,PBS Benefits and ServicesHUMIRA PSA#S#QLDS#QLD-9101B9101B#20171001,2017-10-01,74116.0,54.0
3088550,PBS Benefits and ServicesHUMIRA PSA#S#WAS#WA-9033K9033K#20180501,2018-05-01,5482.0,4.0
639556,PBS Benefits and ServicesHUMIRA PSA#S#WAS#WA-9034L9034L#20170901,2017-09-01,88026.0,64.0
3699338,PBS Benefits and ServicesHUMIRA PSA#S#WAS#WA-9102C9102C#20170401,2017-04-01,469383.0,323.0
4935141,PBS Benefits and ServicesHUMIRA PSA#S#WAS#WA-9102C9102C#20170701,2017-07-01,331601.0,242.0
4796965,PBS Benefits and ServicesHUMIRA PSO#S#VICS#VIC-9427E9427E#20171101,2017-11-01,268297.0,194.0
4433488,PBS Benefits and ServicesHUMIRA RHEUMATOID ARTHRITIS#S#NSWS#NSW-9099X9099X#20190301,2019-03-01,257647.0,207.0
6769935,PBS Benefits and ServicesHUMIRA ULCERATIVE COLITIS#S#NSWS#NSW-10955N10955N#20190401,2019-04-01,25991.0,21.0
12409,PBS Benefits and ServicesHUMIRA ULCERATIVE COLITIS#S#NSWS#NSW-10972L10972L#20190101,2019-01-01,7549.0,2.0
6070803,PBS Benefits and ServicesHUMIRA ULCERATIVE COLITIS#S#QLDS#QLD-10972L10972L#20180301,2018-03-01,4226.0,1.0
5336684,PBS Benefits and ServicesHUMIRA ULCERATIVE COLITIS#S#WAS#WA-10944B10944B#20170401,2017-04-01,1395.0,1.0
2092335,PBS Benefits and ServicesHUMIRA ULCERATIVE COLITIS#S#WAS#WA-10961X10961X#20181201,2018-12-01,66869.0,54.0
4874379,PBS Benefits and ServicesIMATINIB (MULT. BRANDS) CML#S#NSWS#NSW-9123E9123E#20171201,2017-12-01,12755.0,8.0
17014298,PBS Benefits and ServicesIMATINIB (MULT. BRANDS) CML#S#SAS#SA-10916M10916M#20190101,2019-01-01,0.0,0.0
1920224,PBS Benefits and ServicesIMATINIB (MULT. BRANDS) CML#S#TASS#TAS-9113P9113P#20180601,2018-06-01,1247.0,1.0
22636,PBS Benefits and ServicesIMATINIB (MULT. BRANDS) CML#S#TASS#TAS-9124F9124F#20181201,2018-12-01,1840.0,1.0
5849400,PBS Benefits and ServicesIMATINIB (MULT. BRANDS) CML#S#VICS#VIC-9115R9115R#20171101,2017-11-01,3839.0,1.0
3288144,PBS Benefits and ServicesIMATINIB (MULT. BRANDS) CML#S#WAS#WA-9114Q9114Q#20170801,2017-08-01,339440.0,108.0
4281878,PBS Benefits and ServicesIMATINIB (MULT. BRANDS) CML#S#WAS#WA-9116T9116T#20170501,2017-05-01,6081.0,2.0
5550271,PBS Benefits and ServicesIMATINIB (MULT. BRANDS) RARE#S#QLDS#QLD-9174W9174W#20180601,2018-06-01,11464.0,5.0
1427424,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#ACTS#ACT-10615Q10615Q#20170301,2017-03-01,10218.0,2.0
998927,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#NSWS#NSW-10913J10913J#20170801,2017-08-01,5143.0,1.0
1959529,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#NSWS#NSW-10927D10927D#20180801,2018-08-01,232008.0,44.0
6661442,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#QLDS#QLD-10616R10616R#20170401,2017-04-01,212275.0,50.0
4292612,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#QLDS#QLD-10927D10927D#20170401,2017-04-01,151810.0,29.0
1055741,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#SAS#SA-10614P10614P#20190401,2019-04-01,5549.0,1.0
4968484,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#VICS#VIC-10614P10614P#20180601,2018-06-01,5143.0,1.0
635955,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#VICS#VIC-10615Q10615Q#20190101,2019-01-01,317594.0,61.0
3199477,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#WAS#WA-10614P10614P#20180101,2018-01-01,5549.0,1.0
5333122,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#WAS#WA-10614P10614P#20181201,2018-12-01,5119.0,2.0
5453480,PBS Benefits and ServicesJAKAVI MYELOFIBROSIS#S#WAS#WA-10616R10616R#20180401,2018-04-01,64714.0,22.0
5931597,PBS Benefits and ServicesKISQALI CDK 4/6 INHIBITOR#S#QLDS#QLD-011397W011397W#20181001,2018-10-01,136670.0,35.0
3479246,PBS Benefits and ServicesLUCENTIS DME#S#NSWS#NSW-10374B10374B#20180201,2018-02-01,892382.0,624.0
817494,PBS Benefits and ServicesLUCENTIS WAMD#S#SAS#SA-10138N10138N#20171201,2017-12-01,1404699.0,1164.0
6404852,PBS Benefits and ServicesLUCENTIS WAMD#S#TASS#TAS-10138N10138N#20170301,2017-03-01,1026032.0,808.0
3530612,PBS Benefits and ServicesLUCENTIS WAMD#S#TASS#TAS-1382R1382R#20170301,2017-03-01,4570.0,3.0
4866165,PBS Benefits and ServicesMEKINIST MELANOMA TARGETED THERAPY#S#NTS#NT-10382K10382K#20170301,2017-03-01,9529.0,1.0
3233990,PBS Benefits and ServicesNPLATE ITP#S#NSWS#NSW-9699L9699L#20180401,2018-04-01,7557.0,1.0
3658610,PBS Benefits and ServicesNPLATE ITP#S#QLDS#QLD-9698K9698K#20171101,2017-11-01,152373.0,24.0
1815235,PBS Benefits and ServicesNPLATE ITP#S#SAS#SA-9697J9697J#20180301,2018-03-01,35708.0,9.0
2822258,PBS Benefits and ServicesNPLATE ITP#S#SAS#SA-9697J9697J#20181201,2018-12-01,27041.0,7.0
276135,PBS Benefits and ServicesNPLATE ITP#S#VICS#VIC-9697J9697J#20190301,2019-03-01,19386.0,8.0
1651314,PBS Benefits and ServicesNPLATE ITP#S#WAS#WA-9696H9696H#20181101,2018-11-01,11124.0,3.0
4182302,PBS Benefits and ServicesNUCALA SAA#S#QLDS#QLD-11003D11003D#20190301,2019-03-01,49688.0,30.0
1946315,PBS Benefits and ServicesNUCALA SAA#S#TASS#TAS-10996R10996R#20181001,2018-10-01,12968.0,8.0
3188725,PBS Benefits and ServicesREMICADE AS#S#NTS#NT-5753T5753T#20181201,2018-12-01,3952.0,3.0
2902580,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#NSWS#NSW-9613Y9613Y#20180301,2018-03-01,392537.0,172.0
3380512,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#NTS#NT-5754W5754W#20170601,2017-06-01,47144.0,18.0
1370891,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#NTS#NT-5755X5755X#20180701,2018-07-01,8027.0,4.0
4160235,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#QLDS#QLD-11399Y11399Y#20190201,2019-02-01,215760.0,109.0
2521594,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#QLDS#QLD-5754W5754W#20180301,2018-03-01,302050.0,131.0
4792556,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#QLDS#QLD-9674E9674E#20180701,2018-07-01,78061.0,36.0
4558649,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#TASS#TAS-9612X9612X#20170601,2017-06-01,10037.0,5.0
16772012,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#TASS#TAS-9612X9612X#20181001,2018-10-01,0.0,0.0
6566507,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#VICS#VIC-5754W5754W#20180101,2018-01-01,687849.0,312.0
5642318,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#VICS#VIC-5754W5754W#20181001,2018-10-01,604076.0,277.0
1420177,PBS Benefits and ServicesREMICADE CROHN DISEASE#S#WAS#WA-9613Y9613Y#20171101,2017-11-01,104424.0,46.0
1316815,PBS Benefits and ServicesREMICADE PSA#S#VICS#VIC-6496X6496X#20171001,2017-10-01,39514.0,15.0
761428,PBS Benefits and ServicesREMICADE PSO#S#ACTS#ACT-5758C5758C#20180601,2018-06-01,23599.0,8.0
821553,PBS Benefits and ServicesREMICADE PSO#S#NSWS#NSW-5758C5758C#20170601,2017-06-01,167380.0,57.0
5206609,PBS Benefits and ServicesREMICADE PSO#S#NSWS#NSW-5758C5758C#20180401,2018-04-01,95403.0,35.0
299101,PBS Benefits and ServicesREMICADE PSO#S#WAS#WA-9617E9617E#20181201,2018-12-01,6475.0,3.0
6646249,PBS Benefits and ServicesREMICADE RHEUMATOID ARTHRITIS#S#ACTS#ACT-5757B5757B#20170501,2017-05-01,21044.0,10.0
1005527,PBS Benefits and ServicesREMICADE RHEUMATOID ARTHRITIS#S#SAS#SA-5757B5757B#20171201,2017-12-01,9050.0,5.0
6830253,PBS Benefits and ServicesREMICADE RHEUMATOID ARTHRITIS#S#VICS#VIC-5757B5757B#20181101,2018-11-01,26371.0,19.0
6953125,PBS Benefits and ServicesREMICADE ULCERATIVE COLITIS#S#QLDS#QLD-10184B10184B#20170901,2017-09-01,187404.0,73.0
4956169,PBS Benefits and ServicesREMICADE ULCERATIVE COLITIS#S#QLDS#QLD-10184B10184B#20181101,2018-11-01,68044.0,35.0
3171749,PBS Benefits and ServicesREMICADE ULCERATIVE COLITIS#S#TASS#TAS-10067W10067W#20181001,2018-10-01,4013.0,2.0
6770474,PBS Benefits and ServicesREMICADE ULCERATIVE COLITIS#S#VICS#VIC-10057H10057H#20170401,2017-04-01,18941.0,7.0
5809540,PBS Benefits and ServicesREMICADE ULCERATIVE COLITIS#S#VICS#VIC-10067W10067W#20170601,2017-06-01,42009.0,17.0
6883580,PBS Benefits and ServicesREVOLADE ITP#S#QLDS#QLD-5828R5828R#20170301,2017-03-01,67196.0,22.0
1946131,PBS Benefits and ServicesREVOLADE ITP#S#SAS#SA-5827Q5827Q#20171001,2017-10-01,2922.0,2.0
4055771,PBS Benefits and ServicesREVOLADE ITP#S#SAS#SA-5827Q5827Q#20180301,2018-03-01,5876.0,4.0
991501,PBS Benefits and ServicesREVOLADE ITP#S#VICS#VIC-5827Q5827Q#20170601,2017-06-01,26328.0,18.0
5604939,PBS Benefits and ServicesREVOLADE ITP#S#WAS#WA-5827Q5827Q#20171001,2017-10-01,2955.0,2.0
6197989,PBS Benefits and ServicesREVOLADE ITP#S#WAS#WA-5828R5828R#20170501,2017-05-01,5795.0,2.0
5081471,PBS Benefits and ServicesSANDOSTATIN LAR SAS LAR MARKET#S#ACTS#ACT-10558Q10558Q#20181001,2018-10-01,4363.0,1.0
5074608,PBS Benefits and ServicesSANDOSTATIN LAR SAS LAR MARKET#S#QLDS#QLD-10566D10566D#20170501,2017-05-01,9259.0,5.0
1209321,PBS Benefits and ServicesSANDOSTATIN LAR SAS LAR MARKET#S#SAS#SA-10558Q10558Q#20181201,2018-12-01,91882.0,21.0
3844810,PBS Benefits and ServicesSANDOSTATIN LAR SAS LAR MARKET#S#WAS#WA-10550G10550G#20171101,2017-11-01,108268.0,31.0
5362260,PBS Benefits and ServicesSIMPONI AS#S#VICS#VIC-11376R11376R#20190301,2019-03-01,401262.0,306.0
16956786,PBS Benefits and ServicesSIMPONI PSA#S#TASS#TAS-3430M3430M#20190101,2019-01-01,0.0,0.0
4765047,PBS Benefits and ServicesSIMPONI PSA#S#WAS#WA-11365E11365E#20180801,2018-08-01,11620.0,9.0
3890562,PBS Benefits and ServicesSOMATULINE AUTOGEL ACRO+NET#S#VICS#VIC-011315M011315M#20181001,2018-10-01,6645.0,4.0
2184422,PBS Benefits and ServicesSOMATULINE AUTOGEL SAS LAR MARKET#S#NSWS#NSW-5778D5778D#20171101,2017-11-01,111364.0,41.0
1805743,PBS Benefits and ServicesSOMATULINE AUTOGEL SAS LAR MARKET#S#NSWS#NSW-5779E5779E#20190201,2019-02-01,111863.0,41.0
4150607,PBS Benefits and ServicesSOMATULINE AUTOGEL SAS LAR MARKET#S#NSWS#NSW-6423C6423C#20170301,2017-03-01,29630.0,13.0
1100733,PBS Benefits and ServicesSOMATULINE AUTOGEL SAS LAR MARKET#S#NSWS#NSW-6423C6423C#20180401,2018-04-01,36150.0,16.0
1383200,PBS Benefits and ServicesSOMATULINE AUTOGEL SAS LAR MARKET#S#QLDS#QLD-5778D5778D#20190201,2019-02-01,26013.0,14.0
4021480,PBS Benefits and ServicesSOMATULINE AUTOGEL SAS LAR MARKET#S#QLDS#QLD-5779E5779E#20180601,2018-06-01,148629.0,45.0
6808909,PBS Benefits and ServicesSOMATULINE AUTOGEL SAS LAR MARKET#S#QLDS#QLD-6425E6425E#20170401,2017-04-01,64224.0,16.0
4577860,PBS Benefits and ServicesSOMATULINE AUTOGEL SAS LAR MARKET#S#TASS#TAS-5779E5779E#20171101,2017-11-01,29689.0,9.0
3471799,PBS Benefits and ServicesSOMATULINE AUTOGEL SAS LAR MARKET#S#TASS#TAS-5779E5779E#20180201,2018-02-01,36000.0,12.0
